complaint,sentiment,category
The road in Linking Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
New traffic rules implemented at Anna Salai junction from today.,1,Road Damage
huge pothole on old airport road road causing accidents. no action taken!,2,Flooding
Road sign missing near Connaught Place school zone. Children at risk!,2,Road Damage
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Flooding
Street lighting improved on Linking Road road. Feeling safer now.,0,Road Damage
The pothole on Nehru Street road was fixed quickly. Thank you!,0,Sign Missing/Damaged
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Traffic Light Issue
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Traffic Light Issue
The pothole on Nehru Street road was fixed quickly. Thank you!,0,Other
The road in Old Airport Road is full of potholes. Government please fix!,2,Flooding
Road sign missing near Anna Salai school zone. Children at risk!,2,Pothole
The road in Nehru Street is full of potholes. Government please fix!,2,Sign Missing/Damaged
Street lighting improved on MG Road road. Feeling safer now.,0,Road Damage
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
No streetlights on Linking Road road. Very unsafe at night!,2,Flooding
The road in Anna Salai has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
New road signs installed in Linking Road. Very helpful for drivers.,0,Sign Missing/Damaged
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Sign Missing/Damaged
Traffic signal at SV Road is under maintenance.,1,Pothole
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The road in MG Road has been repaired. Excellent work by the municipality!,0,Road Damage
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Severe flooding on SV Road road every time it rains. Pathetic!,2,Traffic Light Issue
Road sign missing near Linking Road school zone. Children at risk!,2,Pothole
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Pothole
The pothole on SV Road road was fixed quickly. Thank you!,0,Other
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Noise Pollution
The pothole on Old Airport Road road was fixed quickly. Thank you!,0,Traffic Light Issue
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Traffic Light Issue
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Road Damage
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Flooding
Street lighting improved on MG Road road. Feeling safer now.,0,Sign Missing/Damaged
The new road markings on Brigade Road street are very clear.,0,Traffic Light Issue
severe flooding on mg road road every time it rains. pathetic!,2,Road Damage
Huge pothole on SV Road road causing accidents. No action taken!,2,Sign Missing/Damaged
no streetlights on gandhi nagar road. very unsafe at night!,2,Flooding
The road in Connaught Place is full of potholes. Government please fix!,2,Flooding
The road in SV Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Flooding
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Road Damage
The municipality has announced repairs for Anna Salai road next week.,1,Flooding
Road damage near MG Road hospital is causing problems for ambulances!,2,Pothole
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Flooding
Road sign missing near Old Airport Road school zone. Children at risk!,2,Flooding
Road sign missing near Anna Salai school zone. Children at risk!,2,Flooding
Road sign missing near SV Road school zone. Children at risk!,2,Road Damage
Traffic lights at Gandhi Nagar junction are working perfectly now. Great improvement!,0,Road Damage
The road in SV Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
The new road markings on Linking Road street are very clear.,0,Road Damage
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Pothole
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Road Damage
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Road Damage
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Road Damage
road damage near mg road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Road widening project at Linking Road is going well. Good job!,0,Other
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Pothole
The municipality has announced repairs for Old Airport Road road next week.,1,Other
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Road Damage
The road in MG Road is full of potholes. Government please fix!,2,Pothole
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Pothole
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Sign Missing/Damaged
The new road markings on Gandhi Nagar street are very clear.,0,Other
Road closure scheduled for Rajiv Chowk bypass for bridge inspection.,1,Noise Pollution
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Pothole
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Road Damage
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Road Damage
Severe flooding on SV Road road every time it rains. Pathetic!,2,Flooding
Traffic signal at Nehru Street is under maintenance.,1,Flooding
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Road Damage
New road signs installed in SV Road. Very helpful for drivers.,0,Traffic Light Issue
Road damage near Anna Salai hospital is causing problems for ambulances!,2,Flooding
Road diversion in effect near Old Airport Road due to pipeline work.,1,Other
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Traffic Light Issue
The road in Connaught Place is full of potholes. Government please fix!,2,Road Damage
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Pothole
road sign missing near mg road school zone. children at risk!,2,Flooding
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Pothole
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Flooding
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Pothole
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Road Damage
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Pothole
The pothole on Rajiv Chowk road was fixed quickly. Thank you!,0,Road Damage
Traffic light at Connaught Place is broken for 2 weeks. Very dangerous!,2,Flooding
The road in Nehru Street is full of potholes. Government please fix!,2,Traffic Light Issue
Road diversion in effect near Connaught Place due to pipeline work.,1,Noise Pollution
Road damage near SV Road hospital is causing problems for ambulances!,2,Road Damage
Road damage near MG Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Pothole
There is construction work happening on Nehru Street road.,1,Traffic Light Issue
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Road diversion in effect near SV Road due to pipeline work.,1,Sign Missing/Damaged
No streetlights on Brigade Road road. Very unsafe at night!,2,Traffic Light Issue
Traffic signal at MG Road is under maintenance.,1,Other
The pothole on Linking Road road was fixed quickly. Thank you!,0,Sign Missing/Damaged
road damage near rajiv chowk hospital is causing problems for ambulances!,2,Traffic Light Issue
Huge pothole on Linking Road road causing accidents. No action taken!,2,Road Damage
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Road damage near SV Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Road Damage
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Traffic Light Issue
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Flooding
The pothole on Linking Road road was fixed quickly. Thank you!,0,Road Damage
There is construction work happening on Brigade Road road.,1,Road Damage
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Sign Missing/Damaged
The road on Linking Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
The road in Linking Road is full of potholes. Government please fix!,2,Road Damage
Road widening project at SV Road is going well. Good job!,0,Traffic Light Issue
No streetlights on Anna Salai road. Very unsafe at night!,2,Pothole
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Pothole
Road closure scheduled for Linking Road bypass for bridge inspection.,1,Pothole
The road in SV Road has been repaired. Excellent work by the municipality!,0,Road Damage
traffic signal at nehru street is under maintenance.,1,Other
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Flooding
Traffic signal at Brigade Road is under maintenance.,1,Sign Missing/Damaged
Traffic signal at Brigade Road is under maintenance.,1,Other
Road closure scheduled for Connaught Place bypass for bridge inspection.,1,Other
The road in MG Road is full of potholes. Government please fix!,2,Pothole
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Sign Missing/Damaged
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
The road in Linking Road is full of potholes. Government please fix!,2,Flooding
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road diversion in effect near Linking Road due to pipeline work.,1,Noise Pollution
huge pothole on brigade road road causing accidents. no action taken!,2,Road Damage
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Noise Pollution
There is construction work happening on Rajiv Chowk road.,1,Noise Pollution
Huge pothole on SV Road road causing accidents. No action taken!,2,Pothole
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Sign Missing/Damaged
New traffic rules implemented at Rajiv Chowk junction from today.,1,Sign Missing/Damaged
There is construction work happening on Connaught Place road.,1,Flooding
severe flooding on brigade road road every time it rains. pathetic!,2,Road Damage
Road diversion in effect near Old Airport Road due to pipeline work.,1,Flooding
Road sign missing near Old Airport Road school zone. Children at risk!,2,Road Damage
Traffic signal at Old Airport Road is under maintenance.,1,Noise Pollution
The road on SV Road is completely damaged. Immediate repair needed!,2,Road Damage
Appreciate the fast response to the complaint about Nehru Street road.,0,Traffic Light Issue
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Pothole
The road in MG Road is full of potholes. Government please fix!,2,Traffic Light Issue
Traffic lights at Rajiv Chowk junction are working perfectly now. Great improvement!,0,Traffic Light Issue
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Sign Missing/Damaged
There is construction work happening on Anna Salai road.,1,Road Damage
Street lighting improved on Linking Road road. Feeling safer now.,0,Sign Missing/Damaged
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Flooding
New traffic rules implemented at MG Road junction from today.,1,Traffic Light Issue
Street lighting improved on MG Road road. Feeling safer now.,0,Road Damage
road damage near old airport road hospital is causing problems for ambulances!,2,Pothole
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Traffic signal at Rajiv Chowk is under maintenance.,1,Illegal Parking
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Pothole
New traffic rules implemented at Linking Road junction from today.,1,Noise Pollution
Road sign missing near Connaught Place school zone. Children at risk!,2,Traffic Light Issue
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Flooding
New traffic rules implemented at Rajiv Chowk junction from today.,1,Pothole
No streetlights on Brigade Road road. Very unsafe at night!,2,Traffic Light Issue
Traffic lights at Rajiv Chowk junction are working perfectly now. Great improvement!,0,Road Damage
The municipality has announced repairs for Gandhi Nagar road next week.,1,Noise Pollution
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Pothole
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Traffic Light Issue
road diversion in effect near sv road due to pipeline work.,1,Flooding
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Flooding
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Road Damage
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Pothole
There is construction work happening on Linking Road road.,1,Illegal Parking
Traffic lights at MG Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Road diversion in effect near Rajiv Chowk due to pipeline work.,1,Traffic Light Issue
Road sign missing near Connaught Place school zone. Children at risk!,2,Flooding
The municipality has announced repairs for Linking Road road next week.,1,Pothole
Road closure scheduled for Connaught Place bypass for bridge inspection.,1,Pothole
New road signs installed in Rajiv Chowk. Very helpful for drivers.,0,Other
Speed limit has been changed to 40 kmph near Rajiv Chowk.,1,Pothole
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about SV Road road.,0,Sign Missing/Damaged
Road damage near Linking Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Traffic Light Issue
No streetlights on Linking Road road. Very unsafe at night!,2,Traffic Light Issue
The road in SV Road is full of potholes. Government please fix!,2,Pothole
There is construction work happening on Connaught Place road.,1,Traffic Light Issue
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Road Damage
severe flooding on gandhi nagar road every time it rains. pathetic!,2,Road Damage
No streetlights on Brigade Road road. Very unsafe at night!,2,Road Damage
Appreciate the fast response to the complaint about Anna Salai road.,0,Sign Missing/Damaged
The road in Brigade Road is full of potholes. Government please fix!,2,Traffic Light Issue
Road diversion in effect near Brigade Road due to pipeline work.,1,Other
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Flooding
new road signs installed in mg road. very helpful for drivers.,0,Other
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Pothole
Street lighting improved on Nehru Street road. Feeling safer now.,0,Road Damage
Traffic signal at Old Airport Road is under maintenance.,1,Flooding
road sign missing near mg road school zone. children at risk!,2,Traffic Light Issue
Road damage near SV Road hospital is causing problems for ambulances!,2,Flooding
No streetlights on Linking Road road. Very unsafe at night!,2,Road Damage
Road closure scheduled for SV Road bypass for bridge inspection.,1,Noise Pollution
The municipality has announced repairs for SV Road road next week.,1,Illegal Parking
The road in Linking Road is full of potholes. Government please fix!,2,Traffic Light Issue
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Flooding
Road sign missing near Anna Salai school zone. Children at risk!,2,Flooding
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Road Damage
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Road Damage
New road signs installed in Nehru Street. Very helpful for drivers.,0,Traffic Light Issue
No streetlights on Nehru Street road. Very unsafe at night!,2,Traffic Light Issue
The pothole on Anna Salai road was fixed quickly. Thank you!,0,Other
Appreciate the fast response to the complaint about Rajiv Chowk road.,0,Road Damage
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Pothole
The municipality has announced repairs for Linking Road road next week.,1,Flooding
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Road Damage
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near MG Road.,1,Illegal Parking
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Traffic Light Issue
The road in SV Road is full of potholes. Government please fix!,2,Flooding
road sign missing near nehru street school zone. children at risk!,2,Pothole
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Flooding
Speed limit has been changed to 40 kmph near SV Road.,1,Flooding
Road sign missing near Linking Road school zone. Children at risk!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about Nehru Street road.,0,Sign Missing/Damaged
No streetlights on Nehru Street road. Very unsafe at night!,2,Pothole
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Flooding
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Road Damage
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Pothole
The road in Old Airport Road is full of potholes. Government please fix!,2,Pothole
Huge pothole on SV Road road causing accidents. No action taken!,2,Traffic Light Issue
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Pothole
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Road Damage
No streetlights on SV Road road. Very unsafe at night!,2,Pothole
No streetlights on Connaught Place road. Very unsafe at night!,2,Road Damage
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Sign Missing/Damaged
no streetlights on nehru street road. very unsafe at night!,2,Road Damage
New traffic rules implemented at Linking Road junction from today.,1,Road Damage
There is construction work happening on Linking Road road.,1,Flooding
The municipality has announced repairs for Rajiv Chowk road next week.,1,Traffic Light Issue
speed limit has been changed to 40 kmph near connaught place.,1,Flooding
The pothole on Connaught Place road was fixed quickly. Thank you!,0,Traffic Light Issue
New road signs installed in Anna Salai. Very helpful for drivers.,0,Road Damage
New road signs installed in Gandhi Nagar. Very helpful for drivers.,0,Sign Missing/Damaged
Huge pothole on Linking Road road causing accidents. No action taken!,2,Traffic Light Issue
traffic lights at sv road junction are working perfectly now. great improvement!,0,Other
The municipality has announced repairs for Nehru Street road next week.,1,Noise Pollution
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Pothole
Huge pothole on Linking Road road causing accidents. No action taken!,2,Flooding
road sign missing near mg road school zone. children at risk!,2,Road Damage
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Road Damage
Road sign missing near Linking Road school zone. Children at risk!,2,Traffic Light Issue
There is construction work happening on Nehru Street road.,1,Traffic Light Issue
New road signs installed in Linking Road. Very helpful for drivers.,0,Traffic Light Issue
Severe flooding on SV Road road every time it rains. Pathetic!,2,Road Damage
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Road widening project at Old Airport Road is going well. Good job!,0,Road Damage
New traffic rules implemented at MG Road junction from today.,1,Other
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The road in SV Road is full of potholes. Government please fix!,2,Pothole
severe flooding on rajiv chowk road every time it rains. pathetic!,2,Flooding
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Flooding
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Road Damage
garbage dumped on old airport road road. municipality is not cleaning!,2,Road Damage
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Flooding
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Road Damage
no streetlights on old airport road road. very unsafe at night!,2,Pothole
New road signs installed in Rajiv Chowk. Very helpful for drivers.,0,Traffic Light Issue
Road diversion in effect near SV Road due to pipeline work.,1,Sign Missing/Damaged
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Other
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Road widening project at Rajiv Chowk is going well. Good job!,0,Sign Missing/Damaged
Road widening project at Brigade Road is going well. Good job!,0,Road Damage
No streetlights on SV Road road. Very unsafe at night!,2,Flooding
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Other
The municipality has announced repairs for Rajiv Chowk road next week.,1,Other
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Flooding
Severe flooding on Linking Road road every time it rains. Pathetic!,2,Flooding
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Pothole
the road in linking road has been repaired. excellent work by the municipality!,0,Traffic Light Issue
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Flooding
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Pothole
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Flooding
the road in brigade road is full of potholes. government please fix!,2,Sign Missing/Damaged
Road sign missing near Brigade Road school zone. Children at risk!,2,Sign Missing/Damaged
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Traffic Light Issue
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Road Damage
The road in Connaught Place has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Road sign missing near Connaught Place school zone. Children at risk!,2,Sign Missing/Damaged
The municipality has announced repairs for SV Road road next week.,1,Noise Pollution
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Road Damage
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Sign Missing/Damaged
New traffic rules implemented at Anna Salai junction from today.,1,Illegal Parking
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Street lighting improved on Brigade Road road. Feeling safer now.,0,Other
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Flooding
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Flooding
Road diversion in effect near Anna Salai due to pipeline work.,1,Road Damage
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Traffic Light Issue
the pothole on sv road road was fixed quickly. thank you!,0,Other
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Flooding
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Road diversion in effect near Rajiv Chowk due to pipeline work.,1,Sign Missing/Damaged
Road damage near Old Airport Road hospital is causing problems for ambulances!,2,Pothole
Road sign missing near Old Airport Road school zone. Children at risk!,2,Road Damage
New traffic rules implemented at Old Airport Road junction from today.,1,Noise Pollution
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Road Damage
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Flooding
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
No streetlights on Old Airport Road road. Very unsafe at night!,2,Traffic Light Issue
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Flooding
Traffic signal at Connaught Place is under maintenance.,1,Flooding
no streetlights on old airport road road. very unsafe at night!,2,Pothole
traffic light at mg road is broken for 2 weeks. very dangerous!,2,Flooding
The road on SV Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Road widening project at Brigade Road is going well. Good job!,0,Traffic Light Issue
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Sign Missing/Damaged
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Road Damage
the road on gandhi nagar is completely damaged. immediate repair needed!,2,Road Damage
Road widening project at MG Road is going well. Good job!,0,Traffic Light Issue
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Flooding
The road in Connaught Place has been repaired. Excellent work by the municipality!,0,Other
huge pothole on gandhi nagar road causing accidents. no action taken!,2,Pothole
Traffic signal at Rajiv Chowk is under maintenance.,1,Sign Missing/Damaged
Traffic signal at Brigade Road is under maintenance.,1,Traffic Light Issue
Road sign missing near Anna Salai school zone. Children at risk!,2,Traffic Light Issue
Road widening project at Brigade Road is going well. Good job!,0,Sign Missing/Damaged
The road in Connaught Place is full of potholes. Government please fix!,2,Sign Missing/Damaged
No streetlights on Brigade Road road. Very unsafe at night!,2,Road Damage
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The new road markings on Brigade Road street are very clear.,0,Other
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Road Damage
road diversion in effect near brigade road due to pipeline work.,1,Sign Missing/Damaged
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Flooding
severe flooding on brigade road road every time it rains. pathetic!,2,Sign Missing/Damaged
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Road Damage
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Pothole
New traffic rules implemented at Rajiv Chowk junction from today.,1,Noise Pollution
Traffic signal at Old Airport Road is under maintenance.,1,Noise Pollution
Severe flooding on MG Road road every time it rains. Pathetic!,2,Road Damage
Road closure scheduled for Rajiv Chowk bypass for bridge inspection.,1,Noise Pollution
New road signs installed in Anna Salai. Very helpful for drivers.,0,Other
Road widening project at Anna Salai is going well. Good job!,0,Other
Traffic signal at Brigade Road is under maintenance.,1,Other
Severe flooding on MG Road road every time it rains. Pathetic!,2,Traffic Light Issue
Street lighting improved on MG Road road. Feeling safer now.,0,Sign Missing/Damaged
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Road closure scheduled for SV Road bypass for bridge inspection.,1,Illegal Parking
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Pothole
The road in Old Airport Road is full of potholes. Government please fix!,2,Road Damage
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Road Damage
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Pothole
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Pothole
traffic chaos at linking road due to broken signal. needs urgent fix!,2,Flooding
the municipality has announced repairs for gandhi nagar road next week.,1,Pothole
speed limit has been changed to 40 kmph near connaught place.,1,Sign Missing/Damaged
Street lighting improved on Anna Salai road. Feeling safer now.,0,Traffic Light Issue
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Flooding
The new road markings on Connaught Place street are very clear.,0,Other
Traffic light at Connaught Place is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
huge pothole on rajiv chowk road causing accidents. no action taken!,2,Traffic Light Issue
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Traffic Light Issue
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Flooding
The road in Gandhi Nagar has been repaired. Excellent work by the municipality!,0,Road Damage
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Road Damage
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Pothole
New traffic rules implemented at Rajiv Chowk junction from today.,1,Noise Pollution
Street lighting improved on Connaught Place road. Feeling safer now.,0,Sign Missing/Damaged
Road diversion in effect near Connaught Place due to pipeline work.,1,Noise Pollution
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Traffic Light Issue
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Pothole
New traffic rules implemented at Nehru Street junction from today.,1,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Linking Road.,1,Sign Missing/Damaged
There is construction work happening on SV Road road.,1,Road Damage
Road sign missing near Anna Salai school zone. Children at risk!,2,Sign Missing/Damaged
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Flooding
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Pothole
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Pothole
The road in Gandhi Nagar has been repaired. Excellent work by the municipality!,0,Road Damage
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Road Damage
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Traffic Light Issue
The municipality has announced repairs for Linking Road road next week.,1,Illegal Parking
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Road widening project at Gandhi Nagar is going well. Good job!,0,Traffic Light Issue
Street lighting improved on Nehru Street road. Feeling safer now.,0,Sign Missing/Damaged
No streetlights on Connaught Place road. Very unsafe at night!,2,Pothole
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Severe flooding on MG Road road every time it rains. Pathetic!,2,Road Damage
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Pothole
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Sign Missing/Damaged
Traffic signal at Old Airport Road is under maintenance.,1,Illegal Parking
Speed limit has been changed to 40 kmph near Linking Road.,1,Pothole
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Flooding
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Sign Missing/Damaged
Road sign missing near Connaught Place school zone. Children at risk!,2,Flooding
